product_id	product_sku	product_name	product_status	product_slug	description	description_status	description_source	specifications	specification_count	specification_status	specifications_source	specifications_confidence	completeness_status	needs_review	review_reasons	content_sha256	excerpt_sha256
6436	MES-LP-02-01	MESA KENYA CON SOMBRILLA	publish	mesa-kenia-v1		missing		Largo: 1.85 m; Ancho: 1.85 m; Alto: 2.70 m; Capacidad: 8 personas; Material: Lámina troquelada	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2718886735d2dd5ef4bafa001e611e7cb05816ab15ef3865903cd52d789f4e9c
6438	MES-PM-02-00	MESA KENYA PLASTIMADERA	publish	mesa-kenia-plastimadera		missing		Largo: 1.80 m; Ancho: 1.80 m; Alto: 0.75 m Ancho asiento: 0.35 m; Capacidad: 8 personas; Material: Metal y plastimadera	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bf13efe6dffc003c157a12bb4a83d3d3c8ac31bd03848bf9514c3fa499188550
6443	MES-LP-06-00	MESA PICNIC JAYA	publish	mesa-jaya		missing		Largo: 1.50 m; Ancho: 1.45 m; Alto: 0.70 m; Capacidad: 6 personas; Material: Lámina troquelada y metal	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	fcd8530935f9b0e79e4e7c37d0d0f9cda58eac87e40063b4cae253ae866b4147
6445	APA-00-05-00	APARCABICICLETA ONE RECTANGULAR	publish	aparcabicicletas		missing		Largo: 0.20 m; Ancho: 0.05 m; Alto: 1.00 m; Capacidad: 1 persona; Material: Metal *No incluye bicicleta	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	901b083eca89a74ec88400610a19084b4a46ed27a33ff5e0bf3b0403fe02305b
6448	APA-00-06-00	APARCABICICLETA SIX ONDULADO	publish	aparcabicicletas-six-ondulado-2		missing		Largo: 1.40 m; Ancho: 0.80 m; Alto: 1.40 m; Área mínima: 3.05 m × 2.90 m; Capacidad: 6 personas	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	8202ef7c2467a884f37661e994dcf879ff27d0520d841a88ec0f90e0a2ac6968
6465	EJE-PE-01-00	EJERCITADOR BARRA DE PESAS	publish	barra-de-pesas		missing		Largo: 1.30 m; Ancho: 0.40 m; Alto: 1.45 m; Área mínima: 4.90 m × 4.00 m; Capacidad: 2 personas	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	18435bdb7bc985011bff51e1c6bbf041f1923dbf33779216867ae45224c923fb
6467	APA-00-01-00	APARCABICICLETA ONE CURVO	publish	aparcabicicletas-3		missing		Largo: 0.60 m; Ancho: 0.20 m; Alto: 0.35 m; Capacidad: 1 persona; Material: Metal	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	44089cb792069f92ff7dbade51284550dd07566d4b996f13890a9e9249cdc031
6470	EJE-PE-02-00	EJERCITADOR PECHO Y ESPALDA CON PESAS	publish	pecho-y-espalda-con-pesas-ambar		missing		Largo: 2.35 m; Ancho: 0.85 m; Alto: 1.85 m; Área mínima: 6.65 m × 4.45 m; Capacidad: 2 personas	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	08b55ab3ecbf7842afcd758c5eec495a46b7ae6963c2f603549caca25a16d3f3
6472	APA-00-03-00	APARCABICICLETA ONE SEMIONDULADO	publish	aparcabicicletas-8		missing		Largo: 0.35 m; Ancho: 0.05 m; Alto: 0.90 m; Capacidad: 1 persona; Material: Metal	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2a36bc93403806df2f44ab8ca80aeea390a679a1f2871219988e0a31c421a289
6474	APA-00-07-00	APARCABICICLETA THREE TRIANGULAR	publish	aparcabicicletas-9		missing		Largo: 0.75 m; Ancho: 0.70 m; Alto: 0.55 m; Capacidad: 3 personas; Material: Metal	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	b272626dd180325bb4eb91268ab7e3f91ea7bcf8778626eb869386b87043eda2
