excel_row	sku	model	sector
249	EJE-EM-02-00	EJERCITADOR ABDOMINALES MEDIUM	Gimnasios funcionales
250	EJE-EM-03-00	EJERCITADOR ELIPTICA MEDIUM	Gimnasios funcionales
251	EJE-EM-04-00	EJERCITADOR CAMINADORA MEDIUM	Gimnasios funcionales
252	EJE-EM-05-00	EJERCITADOR POTRO MEDIUM	Gimnasios funcionales
253	EJE-EM-06-00	EJERCITADOR BARRAS PARALELAS MEDIUM	Gimnasios funcionales
254	EJE-EM-07-00	EJERCITADOR BRAZOS Y MUÑECAS MEDIUM	Gimnasios funcionales
255	EJE-EM-08-00	EJERCITADOR MOVIMIENTO DE CINTURA MEDIUM	Gimnasios funcionales
256	EJE-EM-09-00	EJERCITADOR SURFER MEDIUM	Gimnasios funcionales
257	EJE-EM-10-00	EJERCITADOR DE BRAZO MEDIUM	Gimnasios funcionales
258	EJE-FO-01-00	EJERCITADOR ABDOMINALES FORTE	Gimnasios funcionales
259	EJE-FO-02-00	EJERCITADOR BARRAS PARALELAS FORTE	Gimnasios funcionales
260	EJE-FO-03-00	EJERCITADOR MOVIMIENTO DE CINTURA FORTE	Gimnasios funcionales
261	EJE-FO-04-00	EJERCITADOR BRAZOS Y MUÑECAS FORTE	Gimnasios funcionales
262	EJE-FO-05-00	EJERCITADOR SURFER FORTE	Gimnasios funcionales
263	EJE-FO-06-00	EJERCITADOR POTRO FORTE	Gimnasios funcionales
264	EJE-FO-07-00	EJERCITADOR CAMINADORA FORTE	Gimnasios funcionales
265	EJE-FO-08-00	EJERCITADOR ELIPTICA FORTE	Gimnasios funcionales
266	EJE-FO-09-00	EJERCITADOR DE PIERNAS FORTE	Gimnasios funcionales
267	EJE-FO-10-00	EJERCITADOR BRAZOS FORTE	Gimnasios funcionales
268	EJE-FO-11-00	EJERCITADOR PECHO FORTE	Gimnasios funcionales
269	EJE-ID-03-00	EJERCITADOR BARRAS PARALELAS CURVAS	Gimnasios de calistenia
270	EJE-ID-05-01	EJERCITADOR BANCO ABDOMINAL HORIZONTAL	Gimnasios de calistenia
271	EJE-EST-06-00	EJERCITADOR BANCO ABDOMINAL INCLINADO	Gimnasios de calistenia
272	EJE-ID-07-00	EJERCITADOR BARRAS	Gimnasios de calistenia
273	EJE-EST-05-00	EJERCITADOR AROS CORTO Y 2 POSTES	Gimnasios de calistenia
274	EJE-ID-11-00	EJERCITADOR AROS LARGO Y 2 POSTES	Gimnasios de calistenia
275	EJE-EST-10-00	EJERCITADOR BARRAS DE ESTIRAMIENTO	Gimnasios de calistenia
