sku	classification	repository_count	repository_ids	repository_statuses	repository_names	staging_count	staging_ids	staging_statuses	staging_names	production_count	production_ids	production_statuses	production_names
DEP-00-06-00	all_three	1	6653	publish	TABLERO DE BÁSQUETBOL	1	6653	publish	TABLERO DE BÁSQUETBOL	1	6653	publish	TABLERO DE BÁSQUETBOL
DEP-00-07-00	all_three	1	8007	publish	PORTERIA CON TABLERO DE BÁSQUETBOL	1	8007	publish	PORTERIA CON TABLERO DE BÁSQUETBOL	1	8007	publish	PORTERIA CON TABLERO DE BÁSQUETBOL
DEP-00-09-00	all_three	1	6664	publish	PORTERIA FÚTBOL RAPIDO	1	6664	publish	PORTERIA FÚTBOL RAPIDO	1	6664	publish	PORTERIA FÚTBOL RAPIDO
DEP-00-10-00	all_three	1	6686	publish	PORTERIA DE FÚTBOL PROFESIONAL	1	6686	publish	PORTERIA DE FÚTBOL PROFESIONAL	1	6686	publish	PORTERIA DE FÚTBOL PROFESIONAL
DEP-00-11-00	all_three	1	6728	publish	RED Y 2 POSTES DE VOLEIBOL	1	6728	publish	RED Y 2 POSTES DE VOLEIBOL	1	6728	publish	RED Y 2 POSTES DE VOLEIBOL
DEP-00-12-00	all_three	1	6683	publish	CANCHA CIRCULAR DE FUTBOL RAPIDO	1	6683	publish	CANCHA CIRCULAR DE FUTBOL RAPIDO	1	6683	publish	CANCHA CIRCULAR DE FUTBOL RAPIDO
DEP-MO-01-00	all_three	1	22188	publish	2 BANCAS DE ARBITROS CON TECHUMBRE	1	22188	publish	2 BANCAS DE ARBITROS CON TECHUMBRE	1	22188	publish	2 BANCAS DE ARBITROS CON TECHUMBRE
DEP-MO-02-00	all_three	1	6647	publish	11 BANCAS DE JUGADORES CON TECHUMBRE	1	6647	publish	11 BANCAS DE JUGADORES CON TECHUMBRE	1	6647	publish	11 BANCAS DE JUGADORES CON TECHUMBRE
DEP-MO-03-00	all_three	1	6661	publish	GRADAS TECHADAS 5 ASIENTOS Y 4 DESCANSA PIES	1	6661	publish	GRADAS TECHADAS 5 ASIENTOS Y 4 DESCANSA PIES	1	6661	publish	GRADAS TECHADAS 5 ASIENTOS Y 4 DESCANSA PIES
DEP-MO-04-00	all_three	1	8009	publish	GRADAS 5 ASIENTOS Y 4 DESCANSA PIES	1	8009	publish	GRADAS 5 ASIENTOS Y 4 DESCANSA PIES	1	8009	publish	GRADAS 5 ASIENTOS Y 4 DESCANSA PIES
DEP-MO-05-00	all_three	1	6689	publish	MESA DE AJEDREZ	1	6689	publish	MESA DE AJEDREZ	1	6689	publish	MESA DE AJEDREZ
EDU-PL-01-00	all_three	1	32271	publish	PANEL CUENTA CONMIGO	1	32219	publish	PANEL CUENTA CONMIGO	1	32271	publish	PANEL CUENTA CONMIGO
EDU-PL-02-00	all_three	1	32272	publish	PANEL CUENTA FICHAS (1-5)	1	32220	publish	PANEL CUENTA FICHAS (1-5)	1	32272	publish	PANEL CUENTA FICHAS (1-5)
EDU-PL-03-00	all_three	1	32273	publish	PANEL CUENTA FICHA (6-10)	1	32221	publish	PANEL CUENTA FICHA (6-10)	1	32273	publish	PANEL CUENTA FICHA (6-10)
EDU-PL-04-00	all_three	1	32274	publish	PANEL CUENTA FICHA (0-5)	1	32222	publish	PANEL CUENTA FICHA (0-5)	1	32274	publish	PANEL CUENTA FICHA (0-5)
EDU-PL-05-00	all_three	1	32278	publish	MODULO OPERACIONES	1	32226	publish	Juego OPERACIONES	1	32278	publish	Juego OPERACIONES
