source_sku	source_model	commercial_sector	resolution_type	canonical_sku	canonical_product_id	canonical_status	canonical_name	confidence	evidence
BOT-PL-01-00		Botes de basura	direct_sku	BOT-PL-01-00	6278	publish	BOTE ONON	exact_sku	production_sku
BOT-00-04-00	BOTE TRIANGULAR	Botes de basura	direct_sku	BOT-00-04-00	22348	publish	BOTE TRIANGULAR	exact_sku	production_sku
BAN-00-01-00	BANCA LOA LAMINA	Mesas y bancas	direct_sku	BAN-00-01-00	6318	publish	BANCA LOA LAMINA	exact_sku	production_sku
BAN-PM-03-00	BANCA LOA PLASTIMADERA	Mesas y bancas	sku_alias	BAN-PP-08-00	6324	publish	BANCA LOA PLASTIMADERA	high	unique_normalized_name_match
BAN-00-04-00	BANCA CON PERFILES	Mesas y bancas	direct_sku	BAN-00-04-00	6810	publish	BANCA CON PERFILES	exact_sku	production_sku
BAN-00-07-00	BANCA ALPES	Mesas y bancas	direct_sku	BAN-00-07-00	6346	publish	BANCA ALPES	exact_sku	production_sku
BAN-00-09-00	BANCA HIMALAYA	Mesas y bancas	direct_sku	BAN-00-09-00	6283	publish	BANCA HIMALAYA	exact_sku	production_sku
BAN-PM-04-00	BANCA TÁCANA	Mesas y bancas	direct_sku	BAN-PM-04-00	6299	publish	BANCA TÁCANA	exact_sku	production_sku
BAN-00-05-00	BANCA PISSIS	Mesas y bancas	direct_sku	BAN-00-05-00	6350	publish	BANCA PISSIS	exact_sku	production_sku
BAN-PP-04-00	BANCA KIRO	Mesas y bancas	direct_sku	BAN-PP-04-00	8316	publish	BANCA KIRO	exact_sku	production_sku
BAN-PV-02-00	BANCA PMP PVC	Mesas y bancas	direct_sku	BAN-PV-02-00	8314	publish	BANCA PMP PVC	exact_sku	production_sku
BAN-IN-02-00	BANCA LOGAN INCLUSIVA PVC	Mesas y bancas	direct_sku	BAN-IN-02-00	8328	publish	BANCA LOGAN INCLUSIVA PVC	exact_sku	production_sku
BAN-PV-01-00	BANCA PUMORI PVC	Mesas y bancas	direct_sku	BAN-PV-01-00	8336	publish	BANCA PUMORI PVC	exact_sku	production_sku
BAN-LP-06-00	BANCA CIRCULAR	Mesas y bancas	direct_sku	BAN-LP-06-00	6312	publish	BANCA CIRCULAR	exact_sku	production_sku
BAN-LP-03-00	BANCA PALERMO	Mesas y bancas	direct_sku	BAN-LP-03-00	6335	publish	BANCA PALERMO	exact_sku	production_sku
BAN-LP-07-00	BANCA EVEREST	Mesas y bancas	direct_sku	BAN-LP-07-00	6288	publish	BANCA EVEREST	exact_sku	production_sku
BAN-LP-04-00	BANCA AKIER	Mesas y bancas	direct_sku	BAN-LP-04-00	6330	publish	BANCA AKIER	exact_sku	production_sku
BAN-PL-02-00	BANCA ONON	Mesas y bancas	direct_sku	BAN-PL-02-00	7479	publish	BANCA ONON	exact_sku	production_sku
BAN-PM-07-00	BANCA BARCENA	Mesas y bancas	direct_sku	BAN-PM-07-00	6354	publish	BANCA BARCENA	exact_sku	production_sku
BAN-PM-01-00	BANCA FUJI A	Mesas y bancas	direct_sku	BAN-PM-01-00	32296	publish	BANCA FUJI A	exact_sku	production_sku
BAN-PM-01-01	BANCA FUJI B	Mesas y bancas	direct_sku	BAN-PM-01-01	32302	publish	BANCA FUJI B	exact_sku	production_sku
BAN-PP-05-00	BANCA IKA	Mesas y bancas	direct_sku	BAN-PP-05-00	7480	publish	BANCA IKA	exact_sku	production_sku
