canonical_sku	canonical_product_id	canonical_name	commercial_sector
INT-PL-04-00	7091	PANELES INTERACTIVOS	Centro Comercial, Restaurantes y Hoteles
INT-PL-05-00	7824	MURO SENSORIAL	Escuelas y colegios
INT-PL-06-00	7467	LABERINTO SENSORIAL	Escuelas y colegios
IRE-00-01-00	6994	MONTABLE BASICO	Escuelas y colegios
IRE-PL-01-00	6992	MONTABLE ABEJA	Escuelas y colegios
IRE-PL-02-00	7003	MONTABLE CAMION	Escuelas y colegios
IRE-PL-03-00	6997	MONTABLE MOTO	Escuelas y colegios
IRE-PL-04-00	7819	MONTABLE CABALLITO	Escuelas y colegios
IRE-PL-05-00	6985	MONTABLE GLOBFLEX	Escuelas y colegios
IRE-PL-08-00	7000	MONTABLE DELFIN	Escuelas y colegios
IRE-PL-10-00	28410	MONTABLE DINO	Escuelas y colegios
IRE-PL-11-00	28409	MONTABLE NESSY	Escuelas y colegios
JAI-219	32123	CAÑON DE AGUA	Zonas acuáticas
JAI-319	32125	CUBETAS DE VOLTEO	Zonas acuáticas
JAI-419	7167	ARCO SPRAY	Zonas acuáticas
JAI-519	7169	Bolardo Spray	Zonas acuáticas
JAI-619	7171	SPRAY S	Zonas acuáticas
JAI-719	7303	PULPO SPRAY	Zonas acuáticas
JAI-819	7173	PALMERA LLUVIA	Zonas acuáticas
JAI-919	7177	SOMBRILLA LLUVIA	Zonas acuáticas
JAM-119	7137	AQUA JUM1	Zonas acuáticas
JAM-219	7145	AQUA JUM2	Zonas acuáticas
JAM-319	7150	AQUA JUM3	Zonas acuáticas
JAM-419	7153	AQUA JUM4	Zonas acuáticas
JAM-519	7156	AQUA JUM5	Zonas acuáticas
LEPDM-AMA	32127	TOP-IT-TOPE DE CONTENSION	Residenciales y fraccionamientos
LEPDM-HEM	32133	TARDO CABECERO HEMBRA	Residenciales y fraccionamientos
LEPDM-MAC	32131	TARDO CABECERO MACHO	Residenciales y fraccionamientos
LETDM-AMA	32129	TARDO MODULAR	Residenciales y fraccionamientos
MDA-PL-01-00	30731	Juego Freya	Juegos de exterior
MDA-PL-02-00	30734	Juego Magni	Juegos de exterior
MEC-CR-01-00	6797	Juego BOSTON	Escuelas y colegios
MEC-CR-02-00	32304	Juego ESPAÑA	Juegos de exterior
MEC-CR-03-00	21148	Juego CHARLOTTE	Escuelas y colegios
MEC-CR-05-00	6113	Juego SIENA	Juegos de exterior
MEC-CR-07-00	32328	Juego IMPERIO	Juegos de exterior
MEC-CR-08-00	32322	Juego MAINE INCLUSIVO	Juegos inclusivos
MEL-CR-01-00	24818	Juego Córdoba	Residenciales y fraccionamientos
MEL-CR-03-00	24822	Juego VALLADOLID	Residenciales y fraccionamientos
MER-PR-02-00	6705	Juego MASSACHUSETTS	Escuelas y colegios
MER-PR-03-00	32323	Juego CALIFORNIA	Juegos de exterior
MER-PR-05-00	32303	Juego BRITANIA	Juegos de exterior
MER-PR-06-00	6785	Juego RUSSEL	Escuelas y colegios
MER-PR-07-00	6783	Juego WINSTON	Juegos de exterior
MER-PR-08-00	32325	Juego RANDOLPH	Escuelas y colegios
MES-IN-01-00	6441	MESA DE PICNIC INCLUSIVA	Mesas y bancas
MES-LP-01-01	7491	MESA MERCATO DOPPIO	Mesas y bancas
MES-LP-02-00	6435	MESA KENYA	Mesas y bancas
MES-LP-02-01	6436	MESA KENYA CON SOMBRILLA	Mesas y bancas
