product_id	category_id	category_name	category_slug	parent_category_id
7383	128	Esculturas Recreativas Lúdicas	esculturas-ludicas	70
7395	128	Esculturas Recreativas Lúdicas	esculturas-ludicas	70
7405	128	Esculturas Recreativas Lúdicas	esculturas-ludicas	70
7407	128	Esculturas Recreativas Lúdicas	esculturas-ludicas	70
7411	129	Lucendi	lucendi	70
7416	126	Piso Tipo Tartán	piso-tipo-tartan	122
7425	129	Lucendi	lucendi	70
7427	129	Lucendi	lucendi	70
7430	129	Lucendi	lucendi	70
7442	130	Mobiliario Lucendi	mobiliario-lucendi	77
7443	129	Lucendi	lucendi	70
7443	130	Mobiliario Lucendi	mobiliario-lucendi	77
7445	130	Mobiliario Lucendi	mobiliario-lucendi	77
7446	130	Mobiliario Lucendi	mobiliario-lucendi	77
7450	107	Juegos Temáticos	juegos-tematicos	70
7458	72	Juegos Modulares de Exterior	modulos-recreativos	70
7458	108	Juegos de Escalar	sin-plataforma	70
7458	319	Juegos infantiles Centroamerica	juegos-infantiles-centroamerica	70
7463	109	Juegos Trepaderos	trepaderos	70
7464	109	Juegos Trepaderos	trepaderos	70
7466	114	Resbaladillas	resbaladillas	70
7467	84	Juegos Inclusivos	juegos-inclusivos	70
7479	75	Bancas	bancas	77
7480	75	Bancas	bancas	77
7491	75	Bancas	bancas	77
7491	79	Mesas	mesas	77
7496	82	Señaléticas	senaleticas	77
7505	95	Parabus	parabuses	77
7513	106	Circuitos Caninos Agility	circuitos	66
7749	107	Juegos Temáticos	juegos-tematicos	70
7751	108	Juegos de Escalar	sin-plataforma	70
7780	133	Columpios	columpios	70
7781	133	Columpios	columpios	70
7783	133	Columpios	columpios	70
7789	133	Columpios	columpios	70
7791	133	Columpios	columpios	70
7794	110	Juegos para Jardín	juegos-para-jardin	70
7819	111	Montables	montables	70
7824	84	Juegos Inclusivos	juegos-inclusivos	70
7828	84	Juegos Inclusivos	juegos-inclusivos	70
7831	84	Juegos Inclusivos	juegos-inclusivos	70
7834	129	Lucendi	lucendi	70
8007	101	Canchas Multiusos	canchas-deportivas	66
8009	175	Gradas	gradas	66
8012	106	Circuitos Caninos Agility	circuitos	66
8314	75	Bancas	bancas	77
8316	75	Bancas	bancas	77
8328	131	Mobiliario inclusivo	mobiliario-inclusivo	77
8336	75	Bancas	bancas	77
8345	79	Mesas	mesas	77
8350	80	Aparcabicicletas	aparcabicicletas	77
8359	75	Bancas	bancas	77
8359	90	Mobiliario de acero inoxidable	mobiliario-de-acero-inoxidable	77
8361	74	Botes	botes-de-basura	77
8361	90	Mobiliario de acero inoxidable	mobiliario-de-acero-inoxidable	77
8363	90	Mobiliario de acero inoxidable	mobiliario-de-acero-inoxidable	77
8363	92	Bolardos	bolardos	77
8364	90	Mobiliario de acero inoxidable	mobiliario-de-acero-inoxidable	77
8364	92	Bolardos	bolardos	77
8367	92	Bolardos	bolardos	77
8370	95	Parabus	parabuses	77
19063	133	Columpios	columpios	70
19111	91	Mobiliario de concreto	mobiliario-de-concreto	77
21148	72	Juegos Modulares de Exterior	modulos-recreativos	70
22130	76	Aparatos de Calistenia	calistenia	66
22188	175	Gradas	gradas	66
22209	106	Circuitos Caninos Agility	circuitos	66
22313	180	Mega Estructuras	mega-estructuras	70
22313	319	Juegos infantiles Centroamerica	juegos-infantiles-centroamerica	70
22315	180	Mega Estructuras	mega-estructuras	70
22315	319	Juegos infantiles Centroamerica	juegos-infantiles-centroamerica	70
22323	110	Juegos para Jardín	juegos-para-jardin	70
22329	84	Juegos Inclusivos	juegos-inclusivos	70
22330	84	Juegos Inclusivos	juegos-inclusivos	70
22330	319	Juegos infantiles Centroamerica	juegos-infantiles-centroamerica	70
22332	181	Juegos Infantiles de Madera	juegos-infantiles-madera	70
22334	181	Juegos Infantiles de Madera	juegos-infantiles-madera	70
22335	181	Juegos Infantiles de Madera	juegos-infantiles-madera	70
22344	74	Botes	botes-de-basura	77
22346	74	Botes	botes-de-basura	77
22348	74	Botes	botes-de-basura	77
22359	75	Bancas	bancas	77
22365	75	Bancas	bancas	77
22370	75	Bancas	bancas	77
22386	75	Bancas	bancas	77
22393	79	Mesas	mesas	77
22396	82	Señaléticas	senaleticas	77
22401	82	Señaléticas	senaleticas	77
22403	82	Señaléticas	senaleticas	77
22405	82	Señaléticas	senaleticas	77
22413	182	Parklets	parklets	77
22415	182	Parklets	parklets	77
22417	182	Parklets	parklets	77
22419	91	Mobiliario de concreto	mobiliario-de-concreto	77
22421	91	Mobiliario de concreto	mobiliario-de-concreto	77
22422	91	Mobiliario de concreto	mobiliario-de-concreto	77
22424	91	Mobiliario de concreto	mobiliario-de-concreto	77
22429	92	Bolardos	bolardos	77
22431	92	Bolardos	bolardos	77
22667	133	Columpios	columpios	70
22712	184	Piso plástico modular	piso-plastico-modular	122
22725	184	Piso plástico modular	piso-plastico-modular	122
22727	184	Piso plástico modular	piso-plastico-modular	122
22729	184	Piso plástico modular	piso-plastico-modular	122
22731	184	Piso plástico modular	piso-plastico-modular	122
22733	184	Piso plástico modular	piso-plastico-modular	122
22735	184	Piso plástico modular	piso-plastico-modular	122
22737	184	Piso plástico modular	piso-plastico-modular	122
22739	184	Piso plástico modular	piso-plastico-modular	122
22897	181	Juegos Infantiles de Madera	juegos-infantiles-madera	70
23738	181	Juegos Infantiles de Madera	juegos-infantiles-madera	70
24629	74	Botes	botes-de-basura	77
24631	74	Botes	botes-de-basura	77
24818	72	Juegos Modulares de Exterior	modulos-recreativos	70
24818	138	Productos Nuevos	productos-nuevos	0
24820	72	Juegos Modulares de Exterior	modulos-recreativos	70
24820	138	Productos Nuevos	productos-nuevos	0
24822	72	Juegos Modulares de Exterior	modulos-recreativos	70
24822	138	Productos Nuevos	productos-nuevos	0
24851	72	Juegos Modulares de Exterior	modulos-recreativos	70
24851	138	Productos Nuevos	productos-nuevos	0
24856	72	Juegos Modulares de Exterior	modulos-recreativos	70
24856	138	Productos Nuevos	productos-nuevos	0
24871	115	Sube y baja	sube-y-baja	70
24871	138	Productos Nuevos	productos-nuevos	0
24871	181	Juegos Infantiles de Madera	juegos-infantiles-madera	70
24883	138	Productos Nuevos	productos-nuevos	0
24883	206	Gimnasios exteriores medium	gimnasios-exteriores-medium	66
24885	138	Productos Nuevos	productos-nuevos	0
24885	206	Gimnasios exteriores medium	gimnasios-exteriores-medium	66
24887	138	Productos Nuevos	productos-nuevos	0
24887	206	Gimnasios exteriores medium	gimnasios-exteriores-medium	66
24889	138	Productos Nuevos	productos-nuevos	0
24889	206	Gimnasios exteriores medium	gimnasios-exteriores-medium	66
24891	138	Productos Nuevos	productos-nuevos	0
24891	206	Gimnasios exteriores medium	gimnasios-exteriores-medium	66
24893	138	Productos Nuevos	productos-nuevos	0
24893	206	Gimnasios exteriores medium	gimnasios-exteriores-medium	66
24895	138	Productos Nuevos	productos-nuevos	0
24895	206	Gimnasios exteriores medium	gimnasios-exteriores-medium	66
24897	138	Productos Nuevos	productos-nuevos	0
24897	206	Gimnasios exteriores medium	gimnasios-exteriores-medium	66
24899	138	Productos Nuevos	productos-nuevos	0
24899	206	Gimnasios exteriores medium	gimnasios-exteriores-medium	66
24901	138	Productos Nuevos	productos-nuevos	0
24901	206	Gimnasios exteriores medium	gimnasios-exteriores-medium	66
25233	138	Productos Nuevos	productos-nuevos	0
25233	181	Juegos Infantiles de Madera	juegos-infantiles-madera	70
25243	130	Mobiliario Lucendi	mobiliario-lucendi	77
28342	72	Juegos Modulares de Exterior	modulos-recreativos	70
28365	107	Juegos Temáticos	juegos-tematicos	70
28369	107	Juegos Temáticos	juegos-tematicos	70
28389	15	Sin categorizar	sin-categorizar	0
28398	315	Retos bajos	retos-bajos-juegos-infantiles	70
28399	15	Sin categorizar	sin-categorizar	0
28409	111	Montables	montables	70
28410	111	Montables	montables	70
28412	181	Juegos Infantiles de Madera	juegos-infantiles-madera	70
28647	15	Sin categorizar	sin-categorizar	0
