document_key	relative_path	repository_path	document_type	mime_type	extension	bytes	sha256	canonical_url	attachment_ids	product_ids	product_skus	relation_types
2021/01/MUB-212-APARCABICICLETAS.pdf	2021/01/MUB-212-APARCABICICLETAS.pdf	media/production/documents/uploads/2021/01/MUB-212-APARCABICICLETAS.pdf	technical_pdf	application/pdf	.pdf	600390	9c9177f929dafbd544f6a7c1b73a345923ae9a0688374e133245708d9f9101ea	https://www.productosjumbo.com/wp-content/uploads/2021/01/MUB-212-APARCABICICLETAS.pdf	8264	6448	APA-00-06-00	content_url
2021/01/MUB-413-APARCABICICLETAS-3.pdf	2021/01/MUB-413-APARCABICICLETAS-3.pdf	media/production/documents/uploads/2021/01/MUB-413-APARCABICICLETAS-3.pdf	technical_pdf	application/pdf	.pdf	577740	dc33fd17382b5412059242f4cbe7820b3f623620249bcbfe36f177098e786c7c	https://www.productosjumbo.com/wp-content/uploads/2021/01/MUB-413-APARCABICICLETAS-3.pdf	8261	6467	APA-00-01-00	content_url
2021/01/MUB-518-APARCABICICLETA-9.pdf	2021/01/MUB-518-APARCABICICLETA-9.pdf	media/production/documents/uploads/2021/01/MUB-518-APARCABICICLETA-9.pdf	technical_pdf	application/pdf	.pdf	828888	e165337a1fea710ea4ab0ccb913285aa499cb17fe3bedf0ac48b99015132629e	https://www.productosjumbo.com/wp-content/uploads/2021/01/MUB-518-APARCABICICLETA-9.pdf	8262	6474	APA-00-07-00	content_url
2021/01/MUB-716-APARCABICILCETAS.pdf	2021/01/MUB-716-APARCABICILCETAS.pdf	media/production/documents/uploads/2021/01/MUB-716-APARCABICILCETAS.pdf	technical_pdf	application/pdf	.pdf	568929	129cca82078a329e3960bcd8b2288c3cac3243fa4955751ec0a2dfb3cc2f244f	https://www.productosjumbo.com/wp-content/uploads/2021/01/MUB-716-APARCABICILCETAS.pdf	8263	6445	APA-00-05-00	content_url
2021/01/MUM-419-1-BANCA-FURNAS.pdf	2021/01/MUM-419-1-BANCA-FURNAS.pdf	media/production/documents/uploads/2021/01/MUM-419-1-BANCA-FURNAS.pdf	technical_pdf	application/pdf	.pdf	517743	61d6734d3b95567251441c61c8db8d41b3954ebfe3553abbe8bdb7e2f5ea0362	https://www.productosjumbo.com/wp-content/uploads/2021/01/MUM-419-1-BANCA-FURNAS.pdf	8310	6370	MES-LP-05-00	content_url
2021/01/MUM-513-MESA-AJEDREZ.pdf	2021/01/MUM-513-MESA-AJEDREZ.pdf	media/production/documents/uploads/2021/01/MUM-513-MESA-AJEDREZ.pdf	technical_pdf	application/pdf	.pdf	562653	8f222d427f888e7de56c088751a9d1f855aef9e818b8d4884f87a5c5f9122224	https://www.productosjumbo.com/wp-content/uploads/2021/01/MUM-513-MESA-AJEDREZ.pdf	8231	6689	DEP-MO-05-00	content_url
2021/10/CP-118-Archivo-2D-Rev.0.zip	2021/10/CP-118-Archivo-2D-Rev.0.zip	media/production/documents/uploads/2021/10/CP-118-Archivo-2D-Rev.0.zip	drawing_2d_package	application/zip	.zip	91690	cc4f150471b12da54c284410a59178cc0ee31f7c6915603b33dd897c3e699177	https://www.productosjumbo.com/wp-content/uploads/2021/10/CP-118-Archivo-2D-Rev.0.zip	21013	7791	COL-AB-06-00	content_url
2021/10/EOS-71BP-7.0-Archivo-2D-Rev.0.zip	2021/10/EOS-71BP-7.0-Archivo-2D-Rev.0.zip	media/production/documents/uploads/2021/10/EOS-71BP-7.0-Archivo-2D-Rev.0.zip	drawing_2d_package	application/zip	.zip	255822	b01d52a343081961869bd05899b4bc43e27a9adc104ee3651859db4232c0ef24	https://www.productosjumbo.com/wp-content/uploads/2021/10/EOS-71BP-7.0-Archivo-2D-Rev.0.zip	21274	6770	EOS-PR-23-00	content_url
2021/10/EOS-210-7.0-Archivo-2D-Rev.0.zip	2021/10/EOS-210-7.0-Archivo-2D-Rev.0.zip	media/production/documents/uploads/2021/10/EOS-210-7.0-Archivo-2D-Rev.0.zip	drawing_2d_package	application/zip	.zip	992078	667d60c6f2383af86d314752bfa7460bcbed1394e3c232d76737f3bd12ad1707	https://www.productosjumbo.com/wp-content/uploads/2021/10/EOS-210-7.0-Archivo-2D-Rev.0.zip	21221	6665	EOS-PR-08-00	content_url
2021/10/EOS-220-10.0-Archivo-2D-Rev.0.zip	2021/10/EOS-220-10.0-Archivo-2D-Rev.0.zip	media/production/documents/uploads/2021/10/EOS-220-10.0-Archivo-2D-Rev.0.zip	drawing_2d_package	application/zip	.zip	204335	6c8137993b0c4fb6022a831d3ecf249dc2aa8b85b25b985a7b66a4524eb0bc46	https://www.productosjumbo.com/wp-content/uploads/2021/10/EOS-220-10.0-Archivo-2D-Rev.0.zip	21276	6764	EOS-PR-19-00	content_url
