product_id	product_sku	product_name	product_status	document_count	pdf_count	zip_count	technical_sheet_count	drawing_2d_count	drawing_2d_package_count	technical_pdf_count	technical_package_count	total_bytes
7043	SUB-00-01-02	SUBE Y BAJA TRIPLE	publish	1	0	1	0	0	1	0	0	72276
7044	MES-PT-02-00	Mesa Iluminada para Arena (PTJ-MIS-320)	draft	1	0	1	0	0	1	0	0	23907
7047	SUB-00-01-00	SUBE Y BAJA SENCILLO	publish	2	1	1	1	0	1	0	0	788840
7060	SUB-00-02-01	SUBE Y BAJA PULPO	publish	1	0	1	0	0	1	0	0	83988
7066	SUB-00-02-02	SUBE Y BAJA PULPO TRIPLE	publish	1	0	1	0	0	1	0	0	86257
7077	COL-CR-03-00	Pasamanos Curvo con Canastilla Compuesto Plástico Reforzado	publish	1	0	1	0	0	1	0	0	186251
7081	PAS-00-01-00	PASAMANOS IDA Y VUELTA	publish	1	0	1	0	0	1	0	0	77628
7086	PAS-00-02-00	PASAMANOS ONDULADO 2 x 3 MTS.	publish	1	0	1	0	0	1	0	0	45037
7089	PAS-00-03-00	PASAMANOS RECTO 2 X 3 MTS.	publish	1	0	1	0	0	1	0	0	104579
7091	INT-PL-04-00	PANELES INTERACTIVOS	publish	2	1	1	0	0	1	1	0	927499
7100	INT-PL-02-00	PANEL INTERACTIVO MUÑECOS	publish	2	1	1	0	0	1	1	0	669684
7103	INT-PL-03-00	PANEL INTERACTIVO LABERINTO	publish	2	1	1	0	0	1	1	0	660811
7124	EOS-IN-01-00	Juego MILWUAKEE INCLUSIVO	publish	1	0	1	0	0	1	0	0	162596
7262	MUA-217 A-P	Banca fuji A.	draft	1	1	0	0	0	0	1	0	543529
7383	EL-118-4C	INFINITO	publish	2	1	1	1	0	1	0	0	1659309
7395	EL-619-4C	TRAPIST	publish	1	1	0	1	0	0	0	0	825317
7405	EL-1519-4C	MILLER	publish	1	0	1	0	0	1	0	0	892579
7407	EL-1619-4C	SIRIUS	publish	1	1	0	1	0	0	0	0	745174
7425	PIL-PT-02-00	LIGHT PILLAR	publish	1	0	1	0	0	1	0	0	36696
7427	SUB-PT-01-00	SUBE Y BAJA LUCENDI	publish	1	0	1	0	0	1	0	0	52256
7430	ALA-PT-01-00	Alas Lucendi (PTJ-118)	draft	1	0	1	0	0	1	0	0	113789
7442	BAN-PT-06-00	Banca de Luz (PTJ-BL)	private	1	0	1	0	0	1	0	0	82718
7445	BAN-PT-04-00	BANCA LUCENDI	publish	1	0	1	0	0	1	0	0	42091
7446	BAN-PT-05-00	BANCA MEDIA LUNA LUCENDI	publish	1	0	1	0	0	1	0	0	44050
7450	TEM-PL-07-00	Juego MONSTRIKS	publish	1	0	1	0	0	1	0	0	174262
7463	TRE-CU-07-00	TREPADERO VITEX	publish	1	0	1	0	0	1	0	0	237439
7466	RES-PP-01-01	RESBALADILLA TRIPLE OLAS DE PLASTICO	publish	1	0	1	0	0	1	0	0	103731
7467	INT-PL-06-00	LABERINTO SENSORIAL	publish	1	0	1	0	0	1	0	0	113201
7480	BAN-PP-05-00	BANCA IKA	publish	2	1	1	1	0	1	0	0	1023906
7513	CAN-PL-09-00	MINI RAMPA CANINO	publish	2	1	1	1	0	1	0	0	865546
7749	TEM-PR-07-00	Juego Tren (TEM-PR-07-01)	draft	1	0	1	0	0	1	0	0	434376
