product_id	product_sku	product_name	product_status	spec_key	spec_label	value_text	value_1	value_2	unit	source	source_confidence	ordinal	raw_label	raw_value
6197	EJE-FO-04-00	EJERCITADOR BRAZOS Y MUÑECAS FORTE	publish	minimum_area	Área mínima	2.70 m × 2.00 m	2.70	2.00	m	post_excerpt	high	4	Área mínima	2.70 m X 2.00 m
6197	EJE-FO-04-00	EJERCITADOR BRAZOS Y MUÑECAS FORTE	publish	capacity	Capacidad	2 personas	2		persona	post_excerpt	high	5	Capacidad	2 personas
6199	EJE-FO-06-00	EJERCITADOR POTRO FORTE	publish	length	Largo	1.85 m	1.85		m	post_excerpt	high	1	Largo	1.85 m
6199	EJE-FO-06-00	EJERCITADOR POTRO FORTE	publish	width	Ancho	1.15 m	1.15		m	post_excerpt	high	2	Ancho	1.15 m
6199	EJE-FO-06-00	EJERCITADOR POTRO FORTE	publish	height	Alto	2.00 m	2.00		m	post_excerpt	high	3	Alto	2.00 m
6199	EJE-FO-06-00	EJERCITADOR POTRO FORTE	publish	minimum_area	Área mínima	2.80 m × 2.60 m	2.80	2.60	m	post_excerpt	high	4	Área mínima	2.80 m X 2.60 m
6199	EJE-FO-06-00	EJERCITADOR POTRO FORTE	publish	capacity	Capacidad	2 personas	2		persona	post_excerpt	high	5	Capacidad	2 personas
6201	EJE-FO-02-00	EJERCITADOR BARRAS PARALELAS FORTE	publish	length	Largo	2.50 m	2.50		m	post_excerpt	high	1	Largo	2.50 m
6201	EJE-FO-02-00	EJERCITADOR BARRAS PARALELAS FORTE	publish	width	Ancho	0.75 m	0.75		m	post_excerpt	high	2	Ancho	0.75 m
6201	EJE-FO-02-00	EJERCITADOR BARRAS PARALELAS FORTE	publish	height	Alto	2.00 m	2.00		m	post_excerpt	high	3	Alto	2.00 m
6201	EJE-FO-02-00	EJERCITADOR BARRAS PARALELAS FORTE	publish	minimum_area	Área mínima	3.50 m × 1.90 m	3.50	1.90	m	post_excerpt	high	4	Área mínima	3.50 m X 1.90 m
6201	EJE-FO-02-00	EJERCITADOR BARRAS PARALELAS FORTE	publish	capacity	Capacidad	2 personas	2		persona	post_excerpt	high	5	Capacidad	2 personas
