product_id	product_name	product_slug	post_status	post_date	post_modified	sku	description_chars	short_description_chars	thumbnail_id	gallery_image_ids
6354	BANCA BARCENA	banca-barcena	publish	2020-12-29 23:00:53	2026-03-26 16:32:20	BAN-PM-07-00	1244	1659	6814	22039
6360	BANCA PARA BOLERO	banca-para-bolero	publish	2020-12-29 23:04:58	2026-03-26 16:32:20	BAN-PM-05-00	0	1646	6362	
6361	CIRCUITO CALISTENIA BASICO	conjunto-calistenia-basico	publish	2020-12-29 23:05:04	2026-04-27 16:47:04	CIR-00-02-00	1257	2726	32186	23288,23289,23290,23291
6364	CIRCUITO CALISTENIA COMPLETO	conjunto-calistenia-completo	publish	2020-12-29 23:06:49	2026-04-27 16:47:04	CIR-00-03-00	1429	1473	32187	
6370	MESA RODAS CON TECHO CIRCULAR	mesa-rodas-con-techo-circular	publish	2020-12-29 23:10:52	2026-05-07 18:58:39	MES-LP-05-00	0	1437	6371	
6374	BANCA PUMORI PLASTIMADERA	banca-pumori	publish	2020-12-29 23:14:48	2026-03-26 16:32:21	BAN-PP-03-00	1124	1680	20713	
6389	BANCA VELETA	banca-veleta	publish	2020-12-29 23:30:09	2026-03-26 16:32:21	BAN-00-02-00	0	1377	25965	23293,23292
6390	BANCA MIKENO	banca-mikeno	publish	2020-12-29 23:32:21	2026-03-26 16:32:21	BAN-PP-09-00	0	1658	6391	22034,22035
6392	CIRCUITO CROSS-FIT	conjunto-crossfit	publish	2020-12-29 23:33:34	2026-03-26 16:32:49	CIR-00-04-00	1189	2690	6396	22137
6400	BANCA TINDAYA SIN RESPALDO	banca-aneto	publish	2020-12-29 23:37:48	2026-03-26 16:32:21	BAN-MS-03-01	0	1653	6402	
6401	CIRCUITO PARA DEPORTES	conjunto-para-deportes	publish	2020-12-29 23:38:15	2026-03-26 16:32:50	CIR-00-06-00	1192	2693	6404	
6405	CIRCUITO DE EJERCICIOS BASIC	conjunto-de-ejercicios-basic	publish	2020-12-29 23:40:00	2026-03-26 16:32:49	CIR-00-07-00	1081	2690	6409	
6411	CIRCUITO DE EJERCICIOS COMPLETO	conjunto-de-ejercicios-complete	publish	2020-12-29 23:42:59	2026-03-26 16:32:50	CIR-00-08-00	1282	2695	6415	
6414	BANCA VINSONS	banca-vinsons	publish	2020-12-29 23:44:42	2026-04-27 16:46:50	BAN-CR-01-00	0	1338	6417	
6416	CIRCUITO DE EJERCICIOS	circuito-de-ejercicios	publish	2020-12-29 23:45:36	2026-04-27 16:47:04	CIR-00-09-00	1158	2682	32106	
6423	CIRCUITO HEXÁGONO DE EJERCICIO	hexagono-de-ejercicios	publish	2020-12-29 23:50:01	2026-03-26 16:32:51	CIR-00-10-00	1128	2690	6424	22139,22140
6425	CIRCUITO NINJA	conjunto-ninja	publish	2020-12-29 23:55:51	2026-04-27 16:47:05	CIR-00-11-00	1258	2684	32107	
6426	BANCA DEVI	banca-devi	publish	2020-12-29 23:56:18	2026-03-26 16:32:22	BAN-CR-02-00	0	1328	22634	
6429	MESA DE PICNIC	mesa-picnic	publish	2020-12-29 23:59:05	2026-03-26 16:32:22	MES-PP-03-00	1169	1613	25976	21797
6431	MESA DE PICNIC PLASTIMADERA	mesa-de-pic-nic	publish	2020-12-30 00:02:29	2026-04-27 16:46:50	MES-PM-01-00	0	2885	32181	
6433	MESA NUPTSE	mesa-nuptse	publish	2020-12-30 00:04:37	2026-03-26 16:32:24	MES-LP-03-00	0	2636	6434	
6435	MESA KENYA	mesa-kenia	publish	2020-12-30 00:06:07	2026-03-26 16:32:23	MES-LP-02-00	0	2632	29345	
6436	MESA KENYA CON SOMBRILLA	mesa-kenia-v1	publish	2020-12-30 00:08:03	2026-03-26 16:32:23	MES-LP-02-01	0	2638	29344	
