product_id	product_sku	product_name	product_status	unique_images	featured_images	gallery_images	parented_attachments	content_images	image_paths
6653	DEP-00-06-00	TABLERO DE BÁSQUETBOL	publish	3	1	1	2	0	2020/12/CBA-112.png | 2022/01/banner-web-cancha-multi.jpg | 2026/03/DEP-00-06-00TABLERO-DE-BASQUETBOL.avif
6661	DEP-MO-03-00	GRADAS TECHADAS 5 ASIENTOS Y 4 DESCANSA PIES	publish	2	1	1	1	0	2020/12/MUD-116.png | 2021/10/gradas.jpg
6664	DEP-00-09-00	PORTERIA FÚTBOL RAPIDO	publish	3	1	0	3	0	2020/12/MUD-216.png | 2020/12/PFR-117-1.png | 2020/12/PFR-119.png
6665	EOS-PR-08-00	Juego California (EOS-PR-08-00)	draft	2	1	0	2	0	2020/12/modulo-california-EOS-PR-08-00.jpg | 2020/12/modulo-california-juego-infantil-productos-jumbo.jpg
6674	VL-119	Private: Velaria Twist Malla Sombra 9.2 X 9.2 M	private	1	0	0	0	1	2020/12/colores-velarias.jpg
6676	EOS-PR-10-00	Juego Paris (EOS-PR-10-01)	publish	1	1	0	1	0	2020/12/modulo-paris-juego-infantil.png
6683	DEP-00-12-00	CANCHA CIRCULAR DE FUTBOL RAPIDO	publish	1	1	0	1	0	2020/12/CF6-119.png
6686	DEP-00-10-00	PORTERIA DE FÚTBOL PROFESIONAL	publish	1	1	0	1	0	2020/12/MUD-312.png
6689	DEP-MO-05-00	MESA DE AJEDREZ	publish	2	1	0	2	0	2020/12/MUM-513.png | 2026/03/DEP-MO-05-00-MESA-DE-AJEDREZ.avif
6691	VL-219	Private: Velaria Conica Malla Sombra 4 Puntos 9.2 X 9.2 M	private	2	1	0	0	1	2020/12/VL-219-PNG0039.png | 2020/12/colores-velarias.jpg
6693	VL-319	Private: Sombrilla Malla Sombra 4 Puntos 3 X 3 M	private	2	1	0	1	1	2020/12/VL-319-PNG0040.png | 2020/12/colores-velarias.jpg
6697	VL-119-1	Private: Velaria Twist Malla Sombra 6.2 X 6.2 M	private	1	0	0	0	1	2020/12/colores-velarias.jpg
6699	VL-219-1	Private: Velaria Conica Malla Sombra 4 Puntos 6.2 X 6.2 M	private	2	1	0	2	1	2020/12/VL-219-PNG0039.png | 2020/12/colores-velarias.jpg
6701	LT-1.20	Letra de lamina 1.20 m de alto con base de 30 cm	publish	1	1	0	0	0	2020/12/letras-gigantes.jpg
6703	LT-1.50	Letra de lamina 1.50 m de alto con base de 30 cm	publish	1	1	0	1	0	2020/12/letras-gigantes.jpg
6704	LET-PT-03-00	LETRA POLICARBONATO Y LUZ 2.00 M DE ALTO	publish	1	1	0	1	0	2020/12/Letra-policarbonato-y-luz-2.00-m-de-alto-PTJ-LT-2.00-b.jpg
6705	MER-PR-02-00	Juego MASSACHUSETTS	publish	4	1	2	1	0	2020/12/modulo-Massachusetts-productos-jumbo.jpg | 2026/07/Juego-Massachusetts-EOS-PR-09-00-1.avif | 2026/07/Juego-Massachusetts-EOS-PR-09-00-im.avif | 2026/07/Juego-Massachusetts-EOS-PR-09-00-top.avif
6707	EOS-PR-11-00	Juego Randolph (EOS-1613 10.0)	draft	1	1	0	1	0	2020/12/juego-infantil-para-parques-randolph.jpg
6708	LET-PT-04-00	LETRA POLICARBONATO Y LUZ 3.00 M DE ALTO	publish	1	1	0	0	0	2020/12/Letra-policarbonato-y-luz-2.00-m-de-alto-PTJ-LT-2.00-b.jpg
