product_id	product_sku	product_name	product_status	relative_path	repository_path	mime_type	attachment_ids	roles
6113	MEC-CR-05-00	Juego SIENA	publish	2026/07/Juego-Siena-EOS-PR-05-00.avif	media/production/uploads/2026/07/Juego-Siena-EOS-PR-05-00.avif	image/avif	32517	featured_image
6115	IOS-PR-02-00	Private: Juego New Jersey (IOS-115 7.0)	private	2020/12/IOS-PR-02-02-New-Jersey.webp	media/production/uploads/2020/12/IOS-PR-02-02-New-Jersey.webp	image/webp	31238	featured_image | parented_attachment
6115	IOS-PR-02-00	Private: Juego New Jersey (IOS-115 7.0)	private	2020/12/columpios-para-fraccionamientos.jpg	media/production/uploads/2020/12/columpios-para-fraccionamientos.jpg	image/jpeg	21912	gallery_image | parented_attachment
6115	IOS-PR-02-00	Private: Juego New Jersey (IOS-115 7.0)	private	2020/12/juego-para-fraccionamientos-new-jersey.jpg	media/production/uploads/2020/12/juego-para-fraccionamientos-new-jersey.jpg	image/jpeg	21911	gallery_image | parented_attachment
6115	IOS-PR-02-00	Private: Juego New Jersey (IOS-115 7.0)	private	2020/12/modulo-new-jersey-juego-infantil.png	media/production/uploads/2020/12/modulo-new-jersey-juego-infantil.png	image/png	24971	parented_attachment
6154	TDF-CR-05-01	Private: Juego Valladolid	private	2020/12/Modulo-Valladolid-TDF-CR-05-02-V2-700-px-x-500.webp	media/production/uploads/2020/12/Modulo-Valladolid-TDF-CR-05-02-V2-700-px-x-500.webp	image/webp	29292	featured_image | parented_attachment
6154	TDF-CR-05-01	Private: Juego Valladolid	private	2020/12/juego-con-columpios-y-pasamanos-valladolidv1.jpg	media/production/uploads/2020/12/juego-con-columpios-y-pasamanos-valladolidv1.jpg	image/jpeg	21924	gallery_image | parented_attachment
6154	TDF-CR-05-01	Private: Juego Valladolid	private	2020/12/modulo-valladolid-v1-juego-para-parques.png	media/production/uploads/2020/12/modulo-valladolid-v1-juego-para-parques.png	image/png	24978	parented_attachment
6156	EJE-FO-10-00	EJERCITADOR BRAZOS FORTE	publish	2020/12/AED-003.png	media/production/uploads/2020/12/AED-003.png	image/png	6158	featured_image | parented_attachment
6156	EJE-FO-10-00	EJERCITADOR BRAZOS FORTE	publish	2020/12/ejercitador-forte-de-brazos-exterior.jpg	media/production/uploads/2020/12/ejercitador-forte-de-brazos-exterior.jpg	image/jpeg	22006	gallery_image | parented_attachment
6181	EJE-FO-05-00	EJERCITADOR SURFER FORTE	publish	2020/12/aparato-de-ejercicio-surfer-forte-1.jpg	media/production/uploads/2020/12/aparato-de-ejercicio-surfer-forte-1.jpg	image/jpeg	25475	featured_image | parented_attachment
6181	EJE-FO-05-00	EJERCITADOR SURFER FORTE	publish	2020/12/aparato-surfer-para-exteriores-forte.jpg	media/production/uploads/2020/12/aparato-surfer-para-exteriores-forte.jpg	image/jpeg	22002	gallery_image | parented_attachment
6185	EJE-FO-09-00	EJERCITADOR DE PIERNAS FORTE	publish	2020/12/AED-002.png	media/production/uploads/2020/12/AED-002.png	image/png	6186	featured_image | parented_attachment
6185	EJE-FO-09-00	EJERCITADOR DE PIERNAS FORTE	publish	2020/12/aparato-gimnasio-forte-piernas.jpg	media/production/uploads/2020/12/aparato-gimnasio-forte-piernas.jpg	image/jpeg	21998	gallery_image | parented_attachment
6187	EJE-FO-11-00	EJERCITADOR PECHO FORTE	publish	2020/12/AED-004.png	media/production/uploads/2020/12/AED-004.png	image/png	6189	featured_image | parented_attachment
6187	EJE-FO-11-00	EJERCITADOR PECHO FORTE	publish	2020/12/ejercitador-forte-exterior-para-pecho.jpg	media/production/uploads/2020/12/ejercitador-forte-exterior-para-pecho.jpg	image/jpeg	22000	gallery_image | parented_attachment
6190	EJE-FO-08-00	EJERCITADOR ELIPTICA FORTE	publish	2020/12/AED-005-Eliptica.png	media/production/uploads/2020/12/AED-005-Eliptica.png	image/png	22004	featured_image | parented_attachment
6192	EJE-FO-07-00	EJERCITADOR CAMINADORA FORTE	publish	2020/12/AED-006-CAMINADORAA-Temp0001.png	media/production/uploads/2020/12/AED-006-CAMINADORAA-Temp0001.png	image/png	21997	parented_attachment
6192	EJE-FO-07-00	EJERCITADOR CAMINADORA FORTE	publish	2020/12/ejercitador-forte-caminadora-de-exterior.jpg	media/production/uploads/2020/12/ejercitador-forte-caminadora-de-exterior.jpg	image/jpeg	22001	gallery_image | parented_attachment
6192	EJE-FO-07-00	EJERCITADOR CAMINADORA FORTE	publish	2026/03/EJE-FO-07-00-EJERCITADOR-CAMINADORA-FORTE.avif	media/production/uploads/2026/03/EJE-FO-07-00-EJERCITADOR-CAMINADORA-FORTE.avif	image/avif	32171	parented_attachment
6192	EJE-FO-07-00	EJERCITADOR CAMINADORA FORTE	publish	2026/04/EJE-FO-07-00-EJERCITADOR-CAMINADORA-FORTE.avif	media/production/uploads/2026/04/EJE-FO-07-00-EJERCITADOR-CAMINADORA-FORTE.avif	image/avif	32259	featured_image
6194	EJE-FO-03-00	EJERCITADOR MOVIMIENTO DE CINTURA FORTE	publish	2020/12/AED-010-CINTURA.png	media/production/uploads/2020/12/AED-010-CINTURA.png	image/png	22012	featured_image | parented_attachment
6194	EJE-FO-03-00	EJERCITADOR MOVIMIENTO DE CINTURA FORTE	publish	2020/12/ejercitador-forte-de-exterior-cintura.jpg	media/production/uploads/2020/12/ejercitador-forte-de-exterior-cintura.jpg	image/jpeg	22013	gallery_image | parented_attachment
6197	EJE-FO-04-00	EJERCITADOR BRAZOS Y MUÑECAS FORTE	publish	2020/12/AED-011.png	media/production/uploads/2020/12/AED-011.png	image/png	6198	featured_image | parented_attachment
6197	EJE-FO-04-00	EJERCITADOR BRAZOS Y MUÑECAS FORTE	publish	2020/12/ejercitador-brazos-munecas-forte.jpg	media/production/uploads/2020/12/ejercitador-brazos-munecas-forte.jpg	image/jpeg	22011	gallery_image | parented_attachment
6199	EJE-FO-06-00	EJERCITADOR POTRO FORTE	publish	2020/12/aparato-de-ejercicio-potro-forte.jpg	media/production/uploads/2020/12/aparato-de-ejercicio-potro-forte.jpg	image/jpeg	25473	featured_image | parented_attachment
6199	EJE-FO-06-00	EJERCITADOR POTRO FORTE	publish	2020/12/ejercitador-de-exterior-pecho.hombro-espalda.jpg	media/production/uploads/2020/12/ejercitador-de-exterior-pecho.hombro-espalda.jpg	image/jpeg	22008	gallery_image | parented_attachment
6201	EJE-FO-02-00	EJERCITADOR BARRAS PARALELAS FORTE	publish	2020/12/AED-016.png	media/production/uploads/2020/12/AED-016.png	image/png	6202	featured_image | parented_attachment
6201	EJE-FO-02-00	EJERCITADOR BARRAS PARALELAS FORTE	publish	2020/12/ejercitador-para-hombro-brazo-forte.jpg	media/production/uploads/2020/12/ejercitador-para-hombro-brazo-forte.jpg	image/jpeg	22009	gallery_image | parented_attachment
6203	EJE-FO-01-00	EJERCITADOR ABDOMINALES FORTE	publish	2020/12/aparato-para-abdominales-forte.jpg	media/production/uploads/2020/12/aparato-para-abdominales-forte.jpg	image/jpeg	25476	featured_image | parented_attachment
6205	BOT-LP-07-00	BOTE TOKYO	publish	2020/12/Bote-Tokio-BB-110.png	media/production/uploads/2020/12/Bote-Tokio-BB-110.png	image/png	22586	featured_image | parented_attachment
6207	BOT-00-01-00	BOTE CENTRO HISTORICO	publish	2020/12/MUO-113.png	media/production/uploads/2020/12/MUO-113.png	image/png	6208	parented_attachment
6207	BOT-00-01-00	BOTE CENTRO HISTORICO	publish	2020/12/bote-de-basura-Centro-Historico-BAL-172A-2.jpg	media/production/uploads/2020/12/bote-de-basura-Centro-Historico-BAL-172A-2.jpg	image/jpeg	22597	featured_image | parented_attachment
6210	BOT-LP-03-00	BOTE GRIJALVA	publish	2020/12/BOTE-GRIJALVA-JUMBO.jpg	media/production/uploads/2020/12/BOTE-GRIJALVA-JUMBO.jpg	image/jpeg	24906	featured_image | parented_attachment
6218	BOT-00-03-00	BOTE MOSCOVA	publish	2020/12/Bote-Moscova-MUO-317.png	media/production/uploads/2020/12/Bote-Moscova-MUO-317.png	image/png	22592	parented_attachment
6218	BOT-00-03-00	BOTE MOSCOVA	publish	2026/03/BOT-00-03-00-BOTE-MOSCOVA.avif	media/production/uploads/2026/03/BOT-00-03-00-BOTE-MOSCOVA.avif	image/avif	32165	featured_image | parented_attachment
6220	EJE-ID-03-00	EJERCITADOR BARRAS PARALELAS CURVAS	publish	2020/12/BAR-1.png	media/production/uploads/2020/12/BAR-1.png	image/png	6221	featured_image | parented_attachment
6230	BOT-LP-02-00	BOTE OKA	publish	2020/12/MUO-117-01.png	media/production/uploads/2020/12/MUO-117-01.png	image/png	19390	featured_image | parented_attachment
6233	EJE-ID-07-00	EJERCITADOR BARRAS	publish	2020/12/BAR-3.png	media/production/uploads/2020/12/BAR-3.png	image/png	6237	featured_image | parented_attachment
6236	BOT-00-02-00	BOTE KUMA	publish	2020/12/Bote-Kuma-MUO-717.png	media/production/uploads/2020/12/Bote-Kuma-MUO-717.png	image/png	22591	featured_image | parented_attachment
6243	BOT-LP-03-01	BOTE GRIJALVA DOBLE	publish	2020/12/Bote-grijalva-doble.jpg	media/production/uploads/2020/12/Bote-grijalva-doble.jpg	image/jpeg	24905	featured_image | parented_attachment
6247	BOT-LP-05-00	BOTE ZAIRE	publish	2020/12/Bote-Zaire-MUO-1112.jpg	media/production/uploads/2020/12/Bote-Zaire-MUO-1112.jpg	image/jpeg	22596	featured_image | parented_attachment
6251	BOT-LP-04-00	BOTE RIN	publish	2020/12/bote-rin-sencillo-productos-jumbo.jpg	media/production/uploads/2020/12/bote-rin-sencillo-productos-jumbo.jpg	image/jpeg	25935	parented_attachment
6251	BOT-LP-04-00	BOTE RIN	publish	2026/03/BOT-LP-04-00-BOTE-RIN.avif	media/production/uploads/2026/03/BOT-LP-04-00-BOTE-RIN.avif	image/avif	32164	featured_image | parented_attachment
6254	EJE-ID-11-00	EJERCITADOR AROS LARGO Y 2 POSTES	publish	2020/12/AID-218.png	media/production/uploads/2020/12/AID-218.png	image/png	6258	parented_attachment
6254	EJE-ID-11-00	EJERCITADOR AROS LARGO Y 2 POSTES	publish	2020/12/EJE-ID-11-00.png	media/production/uploads/2020/12/EJE-ID-11-00.png	image/png	32416	featured_image | parented_attachment
6255	BOT-LP-04-01	BOTE RIN DOBLE	publish	2020/12/MUO-518-1.png	media/production/uploads/2020/12/MUO-518-1.png	image/png	6805	parented_attachment
6255	BOT-LP-04-01	BOTE RIN DOBLE	publish	2020/12/MUO-518-2.png	media/production/uploads/2020/12/MUO-518-2.png	image/png	6806	featured_image | parented_attachment
6256	BOT-LP-04-02	BOTE RIN TRIPLE	publish	2020/12/MUO-518-3.png	media/production/uploads/2020/12/MUO-518-3.png	image/png	6807	featured_image | parented_attachment
6256	BOT-LP-04-02	BOTE RIN TRIPLE	publish	2020/12/bote-de-basura-triple-jumbo.jpg	media/production/uploads/2020/12/bote-de-basura-triple-jumbo.jpg	image/jpeg	23295	gallery_image | parented_attachment
